Name,Age_final,Month_BirthDay,Quarter_REA,Half_REA,Cadet_Win,Cadet_Success,Cadet_Part,Junior_Win,Junior_Success,Junior_Part,Senior_Win_CC,Senior_Success_CC,Senior_Part_CC,Senior_Win_WC,Senior_Success_WC,Senior_Part_WC,target_rank,target_group,target_medalist
"Shabanov, Ali",28,8,3,1,0,0,0,0,0,0,0,0,5,0,2,4,3.0,0.0,0
"Shakhbanau, Husein",23,9,3,1,1,2,2,0,0,0,0,0,0,0,0,0,24.0,2.0,1
"Siemakin, Youri",34,2,1,0,0,0,2,0,0,2,0,0,1,0,0,1,21.0,2.0,1
"Snyder, Kyle Frederick",22,11,4,1,0,0,0,1,2,2,1,1,1,1,1,1,1.0,0.0,0
"Sokalski, Andrzej Piotr",27,12,4,1,0,0,0,0,0,0,0,0,1,0,0,0,19.0,2.0,1
"Stark, Georg Gabriel",28,11,4,1,0,0,1,0,1,3,0,0,3,0,0,1,21.0,2.0,1
"Steen, Jordan David",26,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0,2.0,1
"Stieber, Logan Jeffery",26,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,12.0,2.0,1
"Sumit, Sumit",24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,20.0,2.0,1
"Tafur Barrios, Nestor Joaquin",26,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,16.0,2.0,1
"Takahashi, Steven",25,4,2,0,1,1,1,0,2,5,0,3,5,0,0,1,23.0,2.0,1
"Takahashi, Yuki",24,11,4,1,0,0,0,0,1,1,0,0,0,0,0,2,1.0,0.0,0
"Takatani, Sohsuke",28,4,2,0,0,0,2,0,0,2,0,0,0,0,1,3,8.0,1.0,1
"Tanatarov, Akzhurek",31,9,3,1,0,0,1,0,0,2,0,0,2,0,0,3,3.0,0.0,0
"Temengil, Florian Skilang",31,4,2,0,0,0,0,0,0,0,10,13,13,0,0,3,22.0,2.0,1
"Tomar, Sandeep",26,4,2,0,0,0,0,0,0,0,1,1,1,0,0,0,7.0,1.0,1
"Torreblanca Queralta, Yurieski",28,3,1,0,0,0,0,0,0,0,1,2,2,0,0,0,8.0,1.0,1
"Tsabolov, Khetik",26,11,4,1,0,0,0,1,1,1,0,0,0,1,1,1,2.0,0.0,0
"Tumenbileg, Tuvshintulga",25,1,1,0,0,1,1,0,0,5,0,1,2,0,0,1,15.0,2.0,1
"Ulisaikhan, Batshul",27,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,2.0,1
"Usserbaev, Galimzhan",29,12,4,1,0,0,0,0,0,0,0,0,0,0,0,1,21.0,2.0,1
"Usupov, Saiakbai",22,11,4,1,0,0,0,0,1,3,0,1,1,0,0,0,25.0,2.0,1
"Valdes Tobier, Alejandro Enrique",29,11,4,1,0,0,0,0,0,0,3,4,4,0,0,3,3.0,0.0,0
"Valiev, Vladislav",24,4,2,0,1,1,1,2,2,2,0,0,0,0,0,0,3.0,0.0,0
"Vereb, Istvan",30,10,4,1,0,0,2,0,1,6,0,1,8,0,1,6,14.0,2.0,1
"Visalimov, Amirkhan",31,5,2,0,0,0,0,0,0,0,0,0,1,0,0,1,20.0,2.0,1
"Voitechovskis, Edgaras",31,3,1,0,0,0,2,0,0,3,0,0,4,0,0,1,18.0,2.0,1
"Wang, Shao-Wen",21,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,2.0,1
"Wickel, Lennard",26,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,17.0,2.0,1
"Wolfer, Manuel",24,4,2,0,0,1,3,0,1,3,0,0,1,0,0,1,11.0,2.0,1
"Xenidis, Timofei",25,6,2,0,0,0,0,0,1,5,0,0,5,0,0,2,18.0,2.0,1
"Yamamoto, Taiki",21,10,4,1,0,0,1,0,1,2,0,0,0,0,0,0,10.0,1.0,1
